Joueur,Classe 0,Classe 1,Classe 2,Classe 3
Belkebla Haris,0.18513224971946712,0.19362825480457344,0.5164847617133898,0.10475473376257008
Ben Yedder Wissam,0.18342120663973918,0.49953426005185536,0.24386744353517698,0.07317708977322845
Bronn Dylan,0.19079486369807552,0.2892738860810296,0.44453817894673897,0.07539307127415598
Costil Benoît,0.7448047917974588,0.10980298517378348,0.12083736963843998,0.02455485339031755
Dango Ouattara Dango,0.2192855064200178,0.40462622662308984,0.3414526415532773,0.03463562540361511
De la Fuente Konrad,0.7587752760255556,0.09582221607064674,0.14069749378688584,0.004705014116911839
Di María Ángel,0.18199524185101718,0.21270828362514116,0.452689157080939,0.15260731744290268
Domingues Brandon,0.7634823051491701,0.08388138873444521,0.14813253704943605,0.004503769066948618
Donis Anastasios,0.7705633339507004,0.11757857842500295,0.10966438593932083,0.002193701684976151
Doucouré Cheick Oumar,0.16165856778768195,0.16495341027347105,0.553686839106409,0.11970118283243798
Gameiro Kevin,0.2123816649034981,0.39015709041960583,0.3145144617487417,0.08294678292815433
Germain Valère,0.2107234048414638,0.3980377049175423,0.34010967297363276,0.051129217267361145
Geubbels Willem,0.7607806449539029,0.1119533311010399,0.11997064067565175,0.00729538326940536
Gomis Alfred,0.19787556667498984,0.1850323313033112,0.530235076269925,0.08685702575177362
Hakimi Achraf,0.18645055326007623,0.24561124542745488,0.47768085485974654,0.09025734645272272
Kaboré Issa,0.19676526012361192,0.2575756287768321,0.48132203951465613,0.06433707158489951
Laborde Gaëtan,0.17862746826365158,0.3144385785098266,0.3201357774530718,0.18679817577345004
Le Douaron Jérémy,0.22253315442944302,0.413138266241087,0.3349355929858323,0.029392986343637798
M'Bock Hianga'a,0.7586815981538175,0.10499461435114721,0.1314811470266609,0.00484264046837411
Nyamsi Gerzino,0.17796664538960533,0.17478062668076347,0.5351402915407175,0.11211243638891329
Palmer-Brown Erik,0.17804967419514242,0.2949827990192071,0.40790823937599935,0.11905928740965094
Poussin Gaëtan,0.16895409266670952,0.32017501336459653,0.32399769058983885,0.18687320337885496
Ramos Sergio,0.20331965962625603,0.22926574992539672,0.44306566504470873,0.12434892540363873
Renato Sanches,0.2116877319586808,0.28733426288967934,0.44396590590913293,0.057012099242506845
Seidu Alidu,0.20493655449993126,0.2947805552303228,0.43950638594084523,0.06077650432890045
Sissoko Sambou,0.7629554910835263,0.08736791645864457,0.14667948653914975,0.0029971059186792237
Sulemana Kamaldeen,0.7530098772087453,0.07614038555888664,0.14636886693281126,0.02448087029955657
Thomas Romain,0.19503613556537774,0.3236210977797392,0.42120025182358567,0.06014251483129731
