,Côte,Enchère_moy,Note,Variation,But,Temps,Jour,Note_Jour,Journée_Next,Buteur,Entrée_Remplaçant,But_Match,Match_Noté,Titulaire_Match,Statut,Status_Match_Code,Derniers_Status_Match_avant_J,Derniers_Match_Buteur_avant_J,Derniers_But_Match_avant_J,Derniers_Status_Match_après_J,Derniers_Match_Buteur_après_J,Derniers_But_Match_après_J,%Buteur_Derniers_Match,%Titulaire_Derniers_Match,%Noté_Derniers_Match,%Buteur_Derniers_Match_après,%Titulaire_Derniers_Match_après,%Noté_Derniers_Match_après,But/Match_Derniers_Match,But/Match_Derniers_Match_après,Note_Moy_Derniers_Match,Note_Moy_Derniers_Match_Dom,Note_Moy_Derniers_Match_Ext,Note_Moy_,Note_Moy_Derniers_Match_A,Note_Moy_Derniers_Match_Dom_A,Note_Moy_Derniers_Match_Ext_A,Moy_But_Av_J,Nb_But_Av_J,Moy_But_Ap_J,Nb_But_Ap_J,Rolling_Note_J,Rolling_Note_J_Ap,Rolling_Note_J_Derniers_Match,Rolling_Note_J_Derniers_Match_Ap,Ratio_G_derniers matchs,Ratio_N_derniers matchs,Ratio_P_derniers matchs,Note_Jour_Next_Classes
7690,13,13.0,5.31,0.7,1,1373,21,5.5,22,0,0,0,1,1,0,2,0.0,0.0,0.0,20000,0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,5.5,1.1,0.0,1.1,0.0,0.0,0.0,0,0.0,0.26,0.0,1.1,0.0,0.0,1.0,0
7691,10,10.0,4.92,0.28,0,234,21,5.0,22,0,1,0,1,0,0,1,10000.0,0.0,0.0,11000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0.25,0.48,1.0,2.0,0.3333333333333333,0.0,0.6666666666666666,1
7692,1,2.0,4.65,0.69,0,453,21,0.0,22,0,0,0,0,0,1,0,22.0,0.0,0.0,2,0,0,0.0,0.4,0.4,0.0,0.2,0.2,0.0,0.0,1.7,2.4,1.0,0.0,0.7,1.7,1.0,0.0,0.0,0.0,0,2.58,2.45,1.7,0.7,0.3333333333333333,0.6666666666666666,0.0,0
7693,14,15.0,5.08,1.16,0,2790,21,5.0,22,0,0,0,1,1,1,2,2000.0,0.0,0.0,20200,0,0,0.0,0.2,0.2,0.0,0.4,0.4,0.0,0.0,0.6,1.7,1.0,5.0,1.6,1.6,1.0,0.0,0.0,0.0,0,3.35,3.43,0.6,1.6,0.3333333333333333,0.0,0.6666666666666666,2
7694,8,9.0,5.13,0.48,0,964,21,0.0,22,0,0,0,0,0,1,0,220.0,0.0,0.0,22,0,0,0.0,0.4,0.4,0.0,0.4,0.4,0.0,0.0,2.0,4.0,3.2,0.0,2.0,3.0,3.2,0.0,0.0,0.0,0,1.8,1.71,2.0,2.0,0.3333333333333333,0.6666666666666666,0.0,0
7695,8,8.0,5.14,1.21,0,832,21,0.0,22,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.27,1.21,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0
7696,12,15.0,5.23,0.89,1,1653,21,3.5,22,0,0,0,1,1,0,2,1020.0,0.0,0.0,20102,0,0,0.0,0.2,0.2,0.0,0.4,0.4,0.0,0.0,2.0,3.3,4.3,3.5,2.7,3.3,3.9,0.05,1.0,0.05,1,4.72,4.67,2.0,2.7,0.3333333333333333,0.3333333333333333,0.3333333333333333,2
7697,15,15.0,5.08,0.73,1,2022,21,0.0,22,0,0,0,0,0,1,0,111.0,0.0,0.0,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.1,3.9,0.0,2.0,3.0,3.9,0.0,0.0,0.0,0,3.98,3.79,3.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
7698,8,8.0,4.53,0.95,0,975,21,0.0,22,0,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.9,1.8,2.6,0.0,0.0,1.8,1.6,0.0,0.0,0.0,0,1.48,1.4,0.9,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
7699,3,3.0,5.0,0.0,0,4,21,0.0,22,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0
7700,1,1.0,4.5,0.0,0,10,21,0.0,22,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22,0.21,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0
7701,21,21.0,5.22,1.32,0,3330,21,6.0,22,0,0,0,1,1,0,2,20222.0,0.0,0.0,22022,0,0,0.0,0.8,0.8,0.0,0.8,0.8,0.0,0.0,3.5,4.8,4.4,6.0,3.5,4.8,4.6,0.0,0.0,0.0,0,4.68,4.74,3.5,3.5,0.0,0.3333333333333333,0.6666666666666666,3
7702,32,37.0,5.56,1.19,10,2973,21,4.5,22,0,0,0,1,1,0,2,20222.0,0.0,0.0,22022,0,0,0.0,0.8,0.8,0.0,0.8,0.8,0.0,0.0,4.0,5.4,3.2,4.5,4.0,5.4,4.1,0.35,7.0,0.33,7,5.03,5.0,4.0,4.0,0.6666666666666666,0.3333333333333333,0.0,2
7703,14,14.0,4.47,0.87,4,942,21,0.0,22,0,0,0,0,0,1,0,11122.0,1.0,1.0,1112,0,0,0.2,0.4,0.4,0.0,0.2,0.2,0.2,0.0,4.6,4.1,4.6,0.0,3.2,3.2,4.6,0.05,1.0,0.05,1,4.05,3.86,4.6,3.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
7704,13,13.0,5.13,0.85,0,1625,21,6.0,22,0,0,0,1,1,0,2,22222.0,0.0,0.0,22222,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.1,5.5,4.7,6.0,5.2,5.5,4.8,0.0,0.0,0.0,0,3.92,4.02,5.1,5.2,0.0,1.0,0.0,0
7705,9,9.0,4.83,0.76,1,851,21,4.5,22,0,1,0,1,0,1,1,111.0,0.0,0.0,10011,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.2,3.4,4.5,2.8,2.9,3.4,0.0,0.0,0.0,0,2.58,2.67,2.6,2.8,0.0,0.3333333333333333,0.6666666666666666,2
7706,15,17.0,5.19,0.84,3,2160,21,7.0,22,1,0,1,1,1,0,2,2202.0,0.0,0.0,20220,10000,10000,0.0,0.6,0.6,0.2,0.6,0.6,0.0,0.2,3.3,1.1,2.2,7.0,3.7,1.1,3.6,0.05,1.0,0.1,2,3.08,3.26,3.3,3.7,0.6666666666666666,0.3333333333333333,0.0,2
