Joueur,Classe 0,Classe 1,Classe 2,Classe 3
Abergel Laurent,0.17065796301635194,0.16113304147118584,0.5450526573645433,0.12315633814791893
Akliouche Maghnes,0.7838917685001319,0.11763630600300842,0.08026612842744306,0.01820579706941662
Benítez Walter,0.1169186317540459,0.11167561069324868,0.4705902612280425,0.3008154963246629
Bitshiabu El Chadaille,0.7652088031557938,0.08355725767552238,0.14867296728016433,0.0025609718885195717
Busquets Oriol,0.21796787236920467,0.34305752718760196,0.42369596851633395,0.015278631926859422
Danso Kevin,0.17898304786549435,0.21865178422917844,0.48643277890979314,0.11593238899553407
de Préville Nicolas,0.7254477926805506,0.10535273865665604,0.13105990071964807,0.03813956794314523
Dioussé Assane,0.7658699115003305,0.07699326269723236,0.15083660953026254,0.0063002162721747185
Djiku Alexander,0.18680811282874762,0.27455810770423633,0.4151967919851602,0.12343698748185582
Dolberg Kasper,0.7603068099234416,0.11548140736338187,0.11378891791402015,0.010422864799156483
Doumbia Souleyman,0.21863406447194733,0.3890293987213871,0.3694063420903267,0.02293019471633917
Gabriel Silva,0.7626760376166383,0.11294861650024704,0.11810096795930428,0.006274377923810587
Gallon Gauthier,0.6778685405378503,0.07074497825075278,0.1545249918300714,0.09686148938132531
Gelson Martins,0.747860344655495,0.08248583678145269,0.14619369777163566,0.023460120791417082
Henrique,0.2071306704260392,0.2755110312070044,0.47901144516816885,0.03834685319878793
Kamara Boubacar,0.1624287169871127,0.14223449068509872,0.5738956344785738,0.12144115784921475
Kolo Muani Randal,0.18544925003903281,0.3778038876187805,0.322255884107438,0.11449097823474892
Koné Ibrahima,0.21639115773229126,0.43843816305264943,0.2664920088838138,0.0786786703312455
Larouci Yasser,0.20942510684494006,0.20655391717418706,0.5254632810619183,0.05855769491895474
Le Goff Vincent,0.18865285625538022,0.35654644316114253,0.3895254408464805,0.0652752597369967
Lienard Dimitri,0.7339312423930806,0.0833276026818082,0.14754731638037671,0.03519383854473465
Mensah Gideon,0.7523808691373856,0.10933313067050332,0.1236945241752727,0.014591476016838169
Milik Arkadiusz,0.22954496352164352,0.4726219383683324,0.26862465560531096,0.029208442504713546
Ndombele Tanguy,0.1958557050482946,0.24553053399802915,0.46127331765724405,0.09734044329643211
Pajot Vincent,0.2028469135733452,0.20177819061129565,0.5060849738617618,0.08928992195359754
Rajkovic Predrag,0.14448080163078694,0.1188986962502213,0.5676446947738297,0.16897580734516188
Taibi Waniss,0.7599550897751531,0.09709283515908683,0.1400891246970837,0.0028629503686765315
Traoré Amadou,0.7754365606469751,0.1186111892869162,0.10409342316843198,0.0018588268976768745
Traoré Hamari,0.14712805702287518,0.16803557845530254,0.4968315741990391,0.1880047903227831
Ugochukwu Lesley,0.21458362458830732,0.3175432542855201,0.4405611946250981,0.027311926501074522
Ünder Cengiz,0.20711033350011612,0.38620882090816483,0.35128600436484975,0.055394841226869364
Xeka,0.7566966085542075,0.08382327253424815,0.14670938566449768,0.0127707332470464
Zedadka Akim,0.19771692156270881,0.3466479350894203,0.3981526982448252,0.057482445103045454
